uniqueID,Lat,Long,BuildCost,ProfitNPV,Industry,ProductGroup,BuildingType,NetStatus,isClosesd,isWon,StreetAddress
1632,32.8625,-96.8097,"27,019.20","30,659.28",Finance,Ethernet,Office - Multi Tenant,On Zayo Network,null,null,5949 Sherry Ln Dallas TX 75225
1633,32.8008,-96.8196,"26,388.00","28,718.39",Finance,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1634,32.8008,-96.8196,"26,388.00","41,494.77",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1635,32.8008,-96.8196,"26,388.00","28,656.24",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1636,32.8008,-96.8196,"26,388.00","24,157.96",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1637,32.8008,-96.8196,"26,388.00","23,168.76",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1638,32.8008,-96.8196,"26,388.00","14,699.70",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1639,32.8008,-96.8196,"26,388.00","4,102.75",Telecommunications,SONET,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1640,32.8008,-96.8196,"26,388.00","152,806.84",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1641,32.8008,-96.8196,"26,388.00","189,434.15",Telecommunications,Wavelengths - Metro,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1642,32.8008,-96.8196,"26,388.00","82,961.50",Telecommunications,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1643,32.8008,-96.8196,"26,388.00","24,141.04",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1644,32.8008,-96.8196,"26,388.00",0,Media & Content,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1645,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1646,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1647,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1648,32.9239,-96.7917,"27,034.50","25,480.27",Professional Services,Ethernet,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1649,32.9239,-96.7917,"27,034.50","25,480.27",Professional Services,Ethernet,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1650,32.9239,-96.7917,"27,034.50","25,480.27",Professional Services,Ethernet,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1651,32.9239,-96.7917,"27,034.50","38,848.63",Professional Services,zColo,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1652,32.9239,-96.7917,"27,034.50","7,064.50",Professional Services,zColo,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1653,32.9239,-96.7917,"27,034.50","3,532.26",Professional Services,zColo,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1654,32.9239,-96.7917,"27,034.50","3,532.26",Professional Services,zColo,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1655,32.9239,-96.7917,"27,034.50","3,241.83",Professional Services,zColo,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1656,32.9239,-96.7917,"27,034.50","3,241.83",Professional Services,zColo,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1657,32.9239,-96.7917,"27,034.50","24,821.95",Professional Services,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1658,32.9239,-96.7917,"27,034.50","26,330.15",Professional Services,Ethernet,Neutral Data Center,On Zayo Network,null,null,6606 Lyndon B Johnson Fwy Dallas TX 75240
1659,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1660,32.8008,-96.8196,"26,388.00","31,770.42",Telecommunications,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1661,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1662,32.8008,-96.8196,"26,388.00",0,Telecommunications,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1663,32.8008,-96.8196,"26,388.00","17,177.21",Telecommunications,zColo,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1664,32.8008,-96.8196,"26,388.00","17,177.21",Telecommunications,zColo,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1665,32.8008,-96.8196,"26,388.00","17,177.21",Telecommunications,zColo,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1666,32.8008,-96.8196,"26,388.00","17,177.21",Telecommunications,zColo,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1667,32.9215,-96.7766,"23,494.20","16,703.23",IT Infrastructure,IP Services,Office - Multi Tenant,On Zayo Network,null,null,12712 Park Central Dr Dallas TX 75251
1668,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1669,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1670,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
